"Id","Sales"
1,3921.2
24825,4497.69
5993,3342.55
37665,5102.2
18833,3616.91
12841,5260.18
19689,3205.94
857,4120.02
15409,4860.3
38521,5831.69
13697,5043.42
7705,3574.86
39377,5574.78
20545,3505.32
1713,4540.46
16265,4150.69
33385,4648.67
27393,5283.75
2569,5046.32
40233,4969.69
21401,4303.31
35953,4473.97
34241,3987.46
3425,4646.74
22257,3704.78
9417,3947.85
30817,3546.43
10273,4103.43
35097,4333.9
23113,4099.42
4281,3965.79
14553,5499.28
8561,3881.21
29961,3396.4
25681,4890.72
5137,3561.42
23969,4340.81
36809,4983.68
17977,3544.04
26537,5410.56
11985,4769.29
6849,3513.87
17121,3817.46
29105,3926.77
32529,3945.93
11129,4609.01
31673,3408.45
28249,4317.06
23970,7335.94
1714,9261.8
24826,8126.62
18834,5574.8
38522,9770.78
5994,5535.07
35954,7687.33
2,7279.83
39378,4227.4
4282,3725.98
29106,5669.29
8562,5855.35
9418,3079.11
25682,8847.41
19690,5255.93
34242,3836.5
16266,4452.46
22258,3415.98
26538,9915.05
20546,4881.73
10274,3861.73
30818,5721.92
37666,8273.79
33386,4158.9
14554,11619
858,8239.81
21402,3816.78
2570,9854.57
11130,7095.88
5138,5559.34
40234,4407.16
32530,5948.66
36810,8262.2
11986,7829.79
15410,3844.94
35098,7375.59
29962,5190.56
23114,6827.43
17978,5549.07
31674,5915.69
28250,3709.98
6850,5955.26
13698,9081.62
27394,3828.11
7706,6196.57
17122,6234.59
12842,8516.92
3426,3890.68
4283,6104.74
23971,10820.8
24827,11099.9
1715,11444.9
8563,9187.98
5995,7704.55
29107,10538.8
38523,15377.5
34243,7701.68
22259,6882.57
35955,11052.3
3,8922.77
20547,8732.14
39379,4874.58
16267,7569.85
26539,14337.3
23115,10946
18835,9040.92
25683,12453.8
37667,12843.1
859,9488.43
17123,10367.2
5139,8303.27
19691,8988.95
9419,3554.87
7707,8944.94
11987,9715.15
10275,6002.03
35099,11630.9
33387,4794.79
14555,14504
21403,4613.04
2571,12629.5
11131,9760.63
29963,8859.64
15411,4660.51
28251,7182.28
32531,10624.9
13699,13095.6
36811,10968.7
30819,9573.56
40235,7686.5
6851,8036.47
12843,10918.1
27395,4696.8
17979,9232.53
3427,3761.75
31675,10344
860,7176.35
24828,6834.54
5996,6099.96
4284,3725.81
26540,8854.28
23972,7655.73
1716,8330.9
28252,3462.39
4,7738.66
23116,6081.46
